A	45|52|57|61|64
A#	46|53|58|62|65
Bb	46|53|58|62|65
B	47|54|59|63|66
C	48|52|55|60|64
C#	49|56|61|65|68
Db	49|56|61|65|68
D	50|57|62|66
D#	51|58|63|67|70
Eb	51|58|63|67|70
E	40|47|52|56|59|64
F	41|48|53|57|60|65
F#	42|49|54|58|61|66
Gb	42|49|54|58|61|66
G	43|47|50|55|59|67
G#	44|51|56|60|63|68
Ab	44|51|56|60|63|68
